Location	Date	Species	Gender	Length	tag number full 	Time
A0	4/30/21	A	F	26.8	0000_0000000181624102	22:16:00
A0	4/30/21	B	F	27.3	0000_0000000181624103	22:17:00
A0	4/30/21	A	F	25.6	0000_0000000181624104	22:18:00
A0	4/30/21	A	M	26.8	0000_0000000181624105	22:19:00
A0	4/30/21	A	F	26.7	0000_0000000181624106	22:20:00
A0	4/30/21	A	F	26	0000_0000000181624107	22:21:00
A0	4/30/21	A	M	26.8	0000_0000000181624108	22:22:00
A0	4/30/21	N	M	26.3	0000_0000000181624109	22:23:00
A0	4/30/21	A	M	27.1	0000_0000000181624110	22:24:00
A0	4/30/21	A	F	27.1	0000_0000000181624111	22:25:00
A0	4/30/21	A	F	27.3	0000_0000000181624112	22:44:00
A0	4/30/21	A	M	26.8	0000_0000000181624113	22:44:00
A0	4/30/21	A	M	6.7	0000_0000000181624114	22:44:00
A0	4/30/21	A	F	28.2	0000_0000000181624115	22:44:00
A0	4/30/21	B	M	26.2	0000_0000000181624116	22:49:00
A0	4/30/21	N	F	27.5	0000_0000000181624117	22:52:00
A0	4/30/21	N	F	26.2	0000_0000000181624118	22:53:00
A0	4/30/21	A	F	29.5	0000_0000000181624119	22:54:00
A0	4/30/21	N	M	27.5	0000_0000000181624120	22:55:00
A0	4/30/21	N	F	27	0000_0000000181624121	22:56:00
A0	4/30/21	N	M	26.2	0000_0000000181624122	22:56:00
A0	4/30/21	N	M	25.8	0000_0000000181624123	22:59:00
A0	4/30/21	A	F	28.2	0000_0000000181624124	22:59:00
A0	4/30/21	N	M	24.9	0000_0000000181624125	22:59:00
A0	4/30/21	N	F	28.1	0000_0000000181624126	22:59:00
A0	4/30/21	N	M	26.1	0000_0000000181624127	22:59:00
A0	4/30/21	A	F	27.6	0000_0000000181624128	22:59:00
A0	4/30/21	A	F	28.2	0000_0000000181624129	23:08:00
A0	4/30/21	N	F	26.7	0000_0000000181624130	23:10:00
A0	4/30/21	A	F	27.4	0000_0000000181624131	23:10:00
A0	4/30/21	N	F	28.8	0000_0000000181624132	23:10:00
A0	4/30/21	N	M	28	0000_0000000181624133	23:10:00
A0	4/30/21	N	M	25.7	0000_0000000181624134	23:14:00
A0	5/2/21	A	M	26.7	0000_0000000181624135	20:07:00
A0	5/2/21	A	M	25.7	0000_0000000181624136	20:07:00
A0	5/2/21	A	M	27.2	0000_0000000181624167	20:07:00
A0	5/2/21	A	F	27.2	0000_0000000181624137	20:07:00
A0	5/2/21	A	F	27.8	0000_0000000181624138	20:07:00
A0	5/2/21	A	N	27.1	0000_0000000181624139	20:14:00
A0	5/2/21	A	F	27.5	0000_0000000181624140	20:15:00
A0	5/2/21	A	F	27.4	0000_0000000181624141	20:15:00
A0	5/2/21	A	M	26.8	0000_0000000181624142	20:17:00
A0	5/2/21	A	F	25.4	0000_0000000181624143	20:17:00
A0	5/2/21	A	M	27.3	0000_0000000181624144	20:17:00
A0	5/2/21	A	F	28.1	0000_0000000181624145	20:20:00
A0	5/2/21	A	F	29	0000_0000000181624146	20:21:00
A0	5/2/21	A	M	26.2	0000_0000000181624147	20:22:00
A0	5/2/21	A	M	26.3	0000_0000000181624148	20:22:00
A0	5/2/21	A	M	24.9	0000_0000000181624149	20:23:00
A0	5/2/21	A	M	27.4	0000_0000000181624150	20:23:00
A0	5/2/21	A	M	25.3	0000_0000000181624151	20:26:00
A0	5/2/21	A	M	25.8	0000_0000000181624152	20:27:00
A0	5/2/21	A	F	26.7	0000_0000000181624153	20:27:00
A0	5/2/21	A	F	26.3	0000_0000000181624154	20:27:00
A0	5/2/21	A	M	27.3	0000_0000000181624155	20:27:00
A0	5/2/21	A	F	26.4	0000_0000000181624156	20:27:00
A0	5/2/21	A	F	28.2	0000_0000000181624157	20:32:00
A0	5/2/21	A	F	29.5	0000_0000000181624158	20:34:00
A0	5/2/21	A	F	30.1	0000_0000000181624159	20:35:00
A0	5/2/21	A	N	27.5	0000_0000000181624160	20:35:00
A0	5/2/21	A	N	26.5	0000_0000000181624161	20:37:00
A0	5/2/21	A	F	28.1	0000_0000000181624162	20:38:00
A0	5/2/21	A	M	26.8	0000_0000000181624163	20:40:00
A0	5/2/21	A	M	27.4	0000_0000000181624164	20:42:00
A0	5/2/21	A	F	27.2	0000_0000000181624165	20:43:00
A0	5/2/21	A	M	25.7	0000_0000000181624166	20:43:00
A0	5/2/21	A	M	26.8	0000_0000000181624168	20:45:00
A0	5/2/21	A	M	26.9	0000_0000000181624169	20:46:00
A0	5/2/21	A	F	27.7	0000_0000000181624170	20:47:00
A0	5/2/21	A	F	26	0000_0000000181624171	20:48:00
A0	5/2/21	A	M	25.6	0000_0000000181624172	20:49:00
A0	5/2/21	A	F	28.5	0000_0000000181624173	20:49:00
A0	5/2/21	A	M	25.9	0000_0000000181624174	20:49:00
A0	5/2/21	A	F	26.5	0000_0000000181624175	20:53:00
A0	5/2/21	A	M	28.5	0000_0000000181624176	20:53:00
A0	5/2/21	A	F	28.3	0000_0000000181624177	20:55:00
A0	5/2/21	A	F	28.2	0000_0000000181624178	20:56:00
A0	5/2/21	A	F	26.4	0000_0000000181624179	20:56:00
A0	5/2/21	A	M	25.8	0000_0000000181624180	20:56:00
A0	5/2/21	A	M	25.7	0000_0000000181624181	20:59:00
A0	5/2/21	A	M	26.7	0000_0000000181624182	21:01:00
A0	5/2/21	A	M	26.7	0000_0000000181624183	21:01:00
A0	5/2/21	A	M	27.2	0000_0000000181624184	21:02:00
A0	5/2/21	A	F	27.9	0000_0000000181624185	21:14:00
A0	5/2/21	A	M	27.5	0000_0000000181624186	21:15:00
A0	5/2/21	A	M	26.9	0000_0000000181624187	21:16:00
A0	5/2/21	A	F	29.4	0000_0000000181624188	21:17:00
A0	5/2/21	A	F	26.6	0000_0000000181624189	21:18:00
A0	5/2/21	A	F	29.1	0000_0000000181624190	21:19:00
A0	5/2/21	A	F	27.7	0000_0000000181624191	21:20:00
A0	5/2/21	A	M	26.4	0000_0000000181623893	21:20:00
A0	5/2/21	A	F	27.3	0000_0000000181623894	21:20:00
A0	5/2/21	A	F	27.4	0000_0000000181623895	21:25:00
A0	5/2/21	A	M	26	0000_0000000181623896	21:25:00
A0	5/2/21	A	F	26.9	0000_0000000181623897	21:25:00
A0	5/2/21	A	F	27.5	0000_0000000181623898	21:25:00
A0	5/2/21	A	M	26.5	0000_0000000181623899	21:30:00
A0	5/2/21	A	F	30	0000_0000000181623900	21:31:00
A0	5/2/21	A	M	27.2	0000_0000000181623901	21:32:00
A0	5/2/21	A	F	27.5	0000_0000000181623902	21:33:00
A0	5/2/21	A	M	25.5	0000_0000000181623903	21:33:00
A0	5/2/21	A	M	26	0000_0000000181623904	21:34:00
A0	5/2/21	A	M	27.1	0000_0000000181623905	21:34:00
A0	5/2/21	A	F	28.3	0000_0000000181623906	21:38:00
A0	5/2/21	A	F	27.2	0000_0000000181623907	21:39:00
A0	5/2/21	A	F	25.9	0000_0000000181623908	21:40:00
A0	5/2/21	A	F	27.8	0000_0000000181623909	21:41:00
A0	5/2/21	A	M	29	0000_0000000181623910	21:42:00
A0	5/6/21	A	M	26.5	0000_0000000181623883	20:32:00
A0	5/8/21	B	M	24.4	0000_0000000181623911	19:45:00
A0	5/13/21	A	F	26.7	0000_0000000181623912	20:41:00
A0	5/13/21	A	F	28.1	0000_0000000181623913	20:49:00
A0	5/13/21	B	F	25.8	0000_0000000181623914	20:50:00
A0	5/13/21	A	F	26.8	0000_0000000181623915	20:57:00
A0	5/13/21	A	M	26.2	0000_0000000181623916	20:59:00
A0	5/13/21	B	F	25.9	0000_0000000181623917	21:15:00
A0	5/13/21	B	M	25.3	0000_0000000181623918	21:16:00
A0	5/13/21	A	F	27	0000_0000000181623919	21:17:00
A0	5/13/21	B	F	26.7	0000_0000000181623920	21:19:00
A0	5/13/21	B	F	27	0000_0000000181623921	21:21:00
A0	5/13/21	A	F	26	0000_0000000181623922	21:32:00
A0	5/13/21	B	M	26.1	0000_0000000181623923	21:40:00
A0	5/13/21	A	F	28.1	0000_0000000181623924	21:42:00
A0	5/13/21	B	N	25.2	0000_0000000181623925	21:49:00
A0	5/13/21	A	F	28.6	0000_0000000181623926	22:03:00
A0	5/13/21	A	F	27.9	0000_0000000181623927	22:15:00
A0	5/13/21	B	M	24.1	0000_0000000181623928	22:16:00
A0	5/13/21	A	M	26.8	0000_0000000181623929	22:33:00
A0	5/13/21	A	M	25.8	0000_0000000181623930	22:43:00
A0	5/15/21	A	F	27.8	0000_0000000181623931	22:40:00
A0	5/15/21	A	M	26.3	0000_0000000181623932	22:41:00
A0	5/15/21	A	F	28.3	0000_0000000181623933	22:42:00
A0	5/15/21	A	F	26.5	0000_0000000181623934	19:42:00
A0	5/15/21	A	N	26.5	0000_0000000181623935	19:44:00
A0	5/15/21	A	N	26.2	0000_0000000181623936	19:45:00
A0	5/15/21	A	F	25.5	0000_0000000181623937	19:46:00
A0	5/15/21	A	F	27.6	0000_0000000181623938	19:46:00
A0	5/15/21	A	F	26.4	0000_0000000181623939	19:57:00
A0	5/15/21	A	F	28.3	0000_0000000181623940	19:57:00
A0	5/15/21	A	F	28	0000_0000000181623941	19:57:00
A0	5/15/21	A	F	29.4	0000_0000000181623942	19:57:00
A0	5/15/21	A	M	27.4	0000_0000000181623943	19:57:00
A0	5/15/21	A	M	25.1	0000_0000000181623944	19:57:00
A0	5/15/21	A	M	26.1	0000_0000000181623945	20:00:00
A0	5/15/21	A	M	27	0000_0000000181623946	20:00:00
A0	5/15/21	A	F	27.5	0000_0000000181623947	20:02:00
A0	5/15/21	A	M	27.5	0000_0000000181623948	20:02:00
A0	5/15/21	A	F	27	0000_0000000181623949	20:02:00
A0	5/15/21	A	M	25.1	0000_0000000181623950	20:04:00
